Hanzi,Pinyin,Nghĩa tiếng Việt
桌子,zhuo1zi,cái bàn
上边,shang4bian,bên trên
台灯,tai2deng1,đèn bàn
台,tai2,bệ
张,zhang1,"cái , chiếc, tờ/ họ Trương"
下边,xia4bian,bên dưới
抽屉,chou1ti,ngăn kéo
块,kuai4,"miếng, thỏi cục"
前边,qian2bian,phía trước
鞋,xie2,giày
拖鞋,tuo1xie2,dép lê
眼镜,yan3jing4,mắt kính
闹钟,nao4zhong1,đồng hồ báo thức
热闹,re4 nao4,náo nhiệt
王爷,wang2ye,vương gia
担心,dan4xin1,lo lắng
聊天儿,liao2tian1r,"tám chuyện , nói chuyện phiếm ( 聊）"
杂志,za2zhi4,tạp chí
觉得,jue2de2,"cảm giác . Cảm thấy ,cho rằng"
吧,ba,chắc… phải không (trợ từ được dùng để thành lập câu hỏi yêu cầu xác định điều được giả định)
咱们,zan2men,"chúng ta, chúng mình"
啊,a,"đấy, nhỉ, đó (trợ từ dùng ở cuối câu để thể hiện sự khẳng định hoặc tán thành"
出发,chu1fa1,"xuất phát, bắt đầu lên đường"
行,xing2,"được, giỏi"
见面,jian4mian4,gặp mặt
差,cha4,"kém, thiếu"
门口,men2kou3,"cửa, cổng"
等,deng3,đợi chờ
起,qi3,dậy
午饭,wu3fan4,bữa trưa
晚饭,wan3fan4,bữa tối
年,nian2,năm
星期四,xing1qi1si4,thứ 5
星期五,xing1qi1wu3,thứ 6
星期六,xing1qi1liu4,thứ 7
星期日,xing1qi1ri4,chủ nhật
星期天,xing1qi1tian1,chủ nhật
这个月,zhe4geyue4,tháng này
打算,da3suan4,"(v) (n ) : tính , định , dự định / dự định , kế hoạch"
比如,bi3ru2,ví dụ
无关,wu2guan1,không liên quan
